epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.5343,1.48655,3.49889,0.97849,0.00333,1,0.27466,0.09727,1.0598,3.32169,0.83293,0.0704918,0.00327869,0.00327869
2,108.622,1.61989,1.83598,0.97722,0.812,0.79191,0.88928,0.37383,1.46377,2.11216,0.92746,0.0404591,0.00657929,0.00657929
3,156.812,1.63495,1.62227,0.99843,0.67154,0.86667,0.81259,0.35814,1.54168,2.52639,1.07915,0.0103933,0.0098469,0.0098469
4,204.923,1.70384,1.70361,1.0377,0.7643,0.8,0.86609,0.42671,1.65383,1.88886,1.08196,0.0098515,0.0098515,0.0098515
5,248.129,1.60141,1.44334,0.99559,0.84533,0.91667,0.92407,0.45898,1.45711,1.96886,1.02732,0.009802,0.009802,0.009802
6,296.805,1.59879,1.54824,1.0134,0.84116,0.88333,0.93415,0.52737,1.30689,1.31769,0.96767,0.0097525,0.0097525,0.0097525
7,340.911,1.57027,1.30191,1.00322,0.91544,0.90224,0.96211,0.60773,1.25049,1.18563,0.93723,0.009703,0.009703,0.009703
8,384.232,1.49517,1.17257,0.95645,0.92524,0.88333,0.95627,0.61117,1.31226,1.13951,0.95712,0.0096535,0.0096535,0.0096535
9,433.171,1.36375,1.13431,0.93631,0.92879,0.86955,0.95453,0.60381,1.15166,1.10506,0.94448,0.009604,0.009604,0.009604
10,472.964,1.35475,1.1494,0.93018,0.86174,0.98333,0.97549,0.65415,1.1126,1.07259,0.93491,0.0095545,0.0095545,0.0095545
11,516.063,1.35998,1.04984,0.93942,0.96604,0.94813,0.98252,0.63872,1.24226,0.98497,0.95269,0.009505,0.009505,0.009505
12,561.535,1.17822,0.92849,0.92345,0.88686,0.98333,0.96354,0.57718,1.40814,1.22018,0.99405,0.0094555,0.0094555,0.0094555
13,599.692,1.28403,0.94668,0.91541,0.94053,0.96667,0.98297,0.61824,1.10934,0.97804,0.92145,0.009406,0.009406,0.009406
14,644.865,1.1523,0.91903,0.9231,0.98303,0.95,0.9914,0.71645,0.98957,0.82753,0.90262,0.0093565,0.0093565,0.0093565
15,691.594,1.22663,0.85987,0.93054,0.97752,0.96667,0.98829,0.63579,1.22173,0.83573,0.94213,0.009307,0.009307,0.009307
16,733.801,1.14645,0.85269,0.91697,1,0.96041,0.99279,0.70863,0.9481,0.75331,0.90074,0.0092575,0.0092575,0.0092575
17,772.842,1.12706,0.78999,0.90961,0.93061,0.95,0.97967,0.56067,1.25878,0.95774,0.92656,0.009208,0.009208,0.009208
18,818.394,1.21027,0.82871,0.90009,0.95469,0.95,0.98585,0.67596,0.97664,0.8119,0.88724,0.0091585,0.0091585,0.0091585
19,856.402,1.10701,0.75689,0.8837,0.98139,0.98333,0.99318,0.71837,0.92966,0.72946,0.87122,0.009109,0.009109,0.009109
20,900.823,1.10983,0.77465,0.89156,0.99629,0.96667,0.99187,0.62043,1.15939,0.80909,0.90765,0.0090595,0.0090595,0.0090595
21,949.539,1.10001,0.7254,0.88867,0.94943,1,0.98814,0.70725,1.03191,0.74775,0.89264,0.00901,0.00901,0.00901
22,995.123,1.04045,0.71425,0.87739,1,0.99115,0.995,0.73019,0.95384,0.69715,0.88744,0.0089605,0.0089605,0.0089605
23,1034.73,1.12147,0.74169,0.91861,0.97162,0.96667,0.99255,0.7305,0.97868,0.7208,0.87799,0.008911,0.008911,0.008911
